investor_id,avg_gap,txn_count,status
INV000001,38.0,2,At Risk
INV000002,82.8,5,At Risk
INV000003,238.0,1,At Risk
INV000004,53.375,8,At Risk
INV000005,52.0,7,At Risk
INV000006,99.0,5,At Risk
INV000007,104.5,4,At Risk
INV000008,50.285714285714285,7,At Risk
INV000009,80.83333333333333,6,At Risk
INV000010,32.8,10,Healthy
INV000011,45.2,10,At Risk
INV000012,41.4,10,At Risk
INV000013,36.888888888888886,9,At Risk
INV000014,47.1,10,At Risk
INV000015,127.0,1,At Risk
INV000016,87.5,2,At Risk
INV000017,131.33333333333334,3,At Risk
INV000018,110.33333333333333,3,At Risk
INV000019,136.66666666666666,3,At Risk
INV000020,57.8,5,At Risk
INV000021,75.4,5,At Risk
INV000022,95.8,5,At Risk
INV000023,45.55555555555556,9,At Risk
INV000024,43.285714285714285,7,At Risk
INV000025,,0,Healthy
INV000026,72.33333333333333,6,At Risk
INV000027,58.5,6,At Risk
INV000028,58.5,8,At Risk
INV000029,36.4,10,At Risk
INV000030,38.27272727272727,11,At Risk
INV000031,85.0,5,At Risk
INV000032,67.71428571428571,7,At Risk
INV000033,46.2,10,At Risk
INV000034,52.0,2,At Risk
INV000035,144.0,1,At Risk
INV000036,99.0,1,At Risk
INV000037,62.5,4,At Risk
INV000038,64.16666666666667,6,At Risk
INV000039,52.857142857142854,7,At Risk
INV000040,51.55555555555556,9,At Risk
INV000041,68.6,5,At Risk
INV000042,17.0,4,Healthy
INV000043,181.0,2,At Risk
INV000044,89.0,5,At Risk
INV000045,39.22222222222222,9,At Risk
INV000046,72.0,6,At Risk
INV000047,60.5,4,At Risk
INV000048,36.8,10,At Risk
INV000049,247.5,2,At Risk
INV000050,71.5,2,At Risk
INV000051,63.2,5,At Risk
INV000052,46.0,9,At Risk
INV000053,7.0,1,Healthy
INV000054,56.0,6,At Risk
INV000055,36.36363636363637,11,At Risk
INV000056,66.85714285714286,7,At Risk
INV000057,34.8,10,Healthy
INV000058,56.833333333333336,6,At Risk
INV000059,,0,Healthy
INV000060,90.0,1,At Risk
INV000061,67.25,4,At Risk
INV000062,66.28571428571429,7,At Risk
INV000063,218.0,2,At Risk
INV000064,,0,Healthy
INV000065,91.8,5,At Risk
INV000066,40.833333333333336,6,At Risk
INV000067,,0,Healthy
INV000068,,0,Healthy
INV000069,40.18181818181818,11,At Risk
INV000070,113.66666666666667,3,At Risk
INV000071,14.333333333333334,6,Healthy
INV000072,46.666666666666664,9,At Risk
INV000073,45.666666666666664,9,At Risk
INV000074,50.8,10,At Risk
INV000075,62.333333333333336,6,At Risk
INV000076,58.375,8,At Risk
INV000077,87.0,1,At Risk
INV000078,153.0,3,At Risk
INV000079,56.125,8,At Risk
INV000080,60.75,4,At Risk
INV000081,48.8,10,At Risk
INV000082,62.75,8,At Risk
INV000083,180.0,1,At Risk
INV000084,76.5,6,At Risk
INV000085,52.142857142857146,7,At Risk
INV000086,36.54545454545455,11,At Risk
INV000087,51.55555555555556,9,At Risk
INV000088,23.333333333333332,3,Healthy
INV000089,49.1,10,At Risk
INV000090,48.5,6,At Risk
INV000091,45.63636363636363,11,At Risk
INV000092,89.25,4,At Risk
INV000093,49.333333333333336,9,At Risk
INV000094,44.8,10,At Risk
INV000095,52.375,8,At Risk
INV000096,2.0,1,Healthy
INV000097,45.7,10,At Risk
INV000098,66.83333333333333,6,At Risk
INV000099,52.42857142857143,7,At Risk
INV000100,61.42857142857143,7,At Risk
INV000101,42.18181818181818,11,At Risk
INV000102,45.7,10,At Risk
INV000103,63.857142857142854,7,At Risk
INV000104,45.0,11,At Risk
INV000105,44.333333333333336,9,At Risk
INV000106,63.0,3,At Risk
INV000107,50.0,4,At Risk
INV000108,45.625,8,At Risk
INV000109,41.111111111111114,9,At Risk
INV000110,122.0,2,At Risk
INV000111,205.0,1,At Risk
INV000112,80.33333333333333,3,At Risk
INV000113,55.625,8,At Risk
INV000114,47.333333333333336,3,At Risk
INV000115,94.0,5,At Risk
INV000116,78.75,4,At Risk
INV000117,54.857142857142854,7,At Risk
INV000118,50.6,5,At Risk
INV000119,142.0,1,At Risk
INV000120,116.0,3,At Risk
INV000121,133.66666666666666,3,At Risk
INV000122,,0,Healthy
INV000123,44.75,8,At Risk
INV000124,86.8,5,At Risk
INV000125,57.166666666666664,6,At Risk
INV000126,192.5,2,At Risk
INV000127,131.5,2,At Risk
INV000128,45.55555555555556,9,At Risk
INV000129,49.1,10,At Risk
INV000130,38.22222222222222,9,At Risk
INV000131,37.72727272727273,11,At Risk
INV000132,46.125,8,At Risk
INV000133,73.5,6,At Risk
INV000134,87.0,2,At Risk
INV000135,103.33333333333333,3,At Risk
INV000136,,0,Healthy
INV000137,41.75,8,At Risk
INV000138,45.36363636363637,11,At Risk
INV000139,,0,Healthy
INV000140,119.33333333333333,3,At Risk
INV000141,,0,Healthy
INV000142,,0,Healthy
INV000143,51.333333333333336,6,At Risk
INV000144,73.0,5,At Risk
INV000145,55.875,8,At Risk
INV000146,47.714285714285715,7,At Risk
INV000147,58.0,6,At Risk
INV000148,46.22222222222222,9,At Risk
INV000149,,0,Healthy
INV000150,58.0,8,At Risk
INV000151,66.8,5,At Risk
INV000152,87.0,1,At Risk
INV000153,31.444444444444443,9,Healthy
INV000154,59.125,8,At Risk
INV000155,55.285714285714285,7,At Risk
INV000156,79.83333333333333,6,At Risk
INV000157,,0,Healthy
INV000158,63.714285714285715,7,At Risk
INV000159,201.0,2,At Risk
INV000160,71.0,4,At Risk
INV000161,54.75,8,At Risk
INV000162,435.0,1,At Risk
INV000163,47.44444444444444,9,At Risk
INV000164,61.8,5,At Risk
INV000165,58.875,8,At Risk
INV000166,83.0,6,At Risk
INV000167,63.0,8,At Risk
INV000168,192.0,2,At Risk
INV000169,41.18181818181818,11,At Risk
INV000170,25.5,2,Healthy
INV000171,86.66666666666667,3,At Risk
INV000172,100.0,4,At Risk
INV000173,34.6,10,Healthy
INV000174,68.28571428571429,7,At Risk
INV000175,45.63636363636363,11,At Risk
INV000176,119.25,4,At Risk
INV000177,45.8,10,At Risk
INV000178,230.0,1,At Risk
INV000179,35.8,5,At Risk
INV000180,47.857142857142854,7,At Risk
INV000181,52.333333333333336,9,At Risk
INV000182,55.22222222222222,9,At Risk
INV000183,41.54545454545455,11,At Risk
INV000184,,0,Healthy
INV000185,196.0,1,At Risk
INV000186,121.0,1,At Risk
INV000187,,0,Healthy
INV000188,219.0,1,At Risk
INV000189,91.6,5,At Risk
INV000190,65.71428571428571,7,At Risk
INV000191,42.4,10,At Risk
INV000192,57.0,7,At Risk
INV000193,58.25,8,At Risk
INV000194,33.72727272727273,11,Healthy
INV000195,45.77777777777778,9,At Risk
INV000196,56.75,8,At Risk
INV000197,134.66666666666666,3,At Risk
INV000198,,0,Healthy
INV000199,64.33333333333333,6,At Risk
INV000200,69.83333333333333,6,At Risk
INV000201,48.666666666666664,9,At Risk
INV000202,174.0,2,At Risk
INV000203,39.875,8,At Risk
INV000204,69.0,6,At Risk
INV000205,48.666666666666664,9,At Risk
INV000206,130.0,2,At Risk
INV000207,95.0,4,At Risk
INV000208,,0,Healthy
INV000209,29.0,1,Healthy
INV000210,61.875,8,At Risk
INV000211,61.0,8,At Risk
INV000212,88.0,1,At Risk
INV000213,54.0,5,At Risk
INV000214,52.666666666666664,9,At Risk
INV000215,56.375,8,At Risk
INV000216,53.0,5,At Risk
INV000217,46.0,10,At Risk
INV000218,,0,Healthy
INV000219,63.0,4,At Risk
INV000220,80.6,5,At Risk
INV000221,38.42857142857143,7,At Risk
INV000222,45.6,5,At Risk
INV000223,49.8,10,At Risk
INV000224,57.5,6,At Risk
INV000225,53.714285714285715,7,At Risk
INV000226,69.57142857142857,7,At Risk
INV000227,56.75,4,At Risk
INV000228,43.45454545454545,11,At Risk
INV000229,46.333333333333336,6,At Risk
INV000230,50.666666666666664,9,At Risk
INV000231,34.1,10,Healthy
INV000232,205.0,1,At Risk
INV000233,205.0,1,At Risk
INV000234,81.16666666666667,6,At Risk
INV000235,42.111111111111114,9,At Risk
INV000236,67.14285714285714,7,At Risk
INV000237,81.5,2,At Risk
INV000238,52.0,9,At Risk
INV000239,34.2,10,Healthy
INV000240,74.0,1,At Risk
INV000241,40.888888888888886,9,At Risk
INV000242,49.55555555555556,9,At Risk
INV000243,63.0,7,At Risk
INV000244,34.0,8,Healthy
INV000245,46.1,10,At Risk
INV000246,92.33333333333333,3,At Risk
INV000247,,0,Healthy
INV000248,85.33333333333333,3,At Risk
INV000249,39.0,7,At Risk
INV000250,,0,Healthy
INV000251,65.0,5,At Risk
INV000252,36.77777777777778,9,At Risk
INV000253,458.0,1,At Risk
INV000254,249.0,1,At Risk
INV000255,56.0,7,At Risk
INV000256,38.45454545454545,11,At Risk
INV000257,53.285714285714285,7,At Risk
INV000258,,0,Healthy
INV000259,44.125,8,At Risk
INV000260,37.90909090909091,11,At Risk
INV000261,50.44444444444444,9,At Risk
INV000262,34.09090909090909,11,Healthy
INV000263,59.875,8,At Risk
INV000264,81.5,2,At Risk
INV000265,43.72727272727273,11,At Risk
INV000266,62.166666666666664,6,At Risk
INV000267,34.45454545454545,11,Healthy
INV000268,43.2,10,At Risk
INV000269,112.0,3,At Risk
INV000270,48.8,5,At Risk
INV000271,93.6,5,At Risk
INV000272,96.33333333333333,3,At Risk
INV000273,,0,Healthy
INV000274,89.2,5,At Risk
INV000275,134.33333333333334,3,At Risk
INV000276,68.4,5,At Risk
INV000277,,0,Healthy
INV000278,67.0,7,At Risk
INV000279,31.545454545454547,11,Healthy
INV000280,40.54545454545455,11,At Risk
INV000281,136.33333333333334,3,At Risk
INV000282,114.0,3,At Risk
INV000283,46.5,10,At Risk
INV000284,63.666666666666664,6,At Risk
INV000285,65.5,4,At Risk
INV000286,79.5,6,At Risk
INV000287,52.375,8,At Risk
INV000288,57.125,8,At Risk
INV000289,39.90909090909091,11,At Risk
INV000290,106.33333333333333,3,At Risk
INV000291,55.625,8,At Risk
INV000292,35.8,10,At Risk
INV000293,45.45454545454545,11,At Risk
INV000294,62.333333333333336,6,At Risk
INV000295,48.5,2,At Risk
INV000296,58.57142857142857,7,At Risk
INV000297,56.625,8,At Risk
INV000298,74.0,5,At Risk
INV000299,48.8,10,At Risk
INV000300,76.5,2,At Risk
INV000301,45.666666666666664,6,At Risk
INV000302,25.0,1,Healthy
INV000303,88.4,5,At Risk
INV000304,53.111111111111114,9,At Risk
INV000305,44.0,8,At Risk
INV000306,76.0,2,At Risk
INV000307,75.66666666666667,6,At Risk
INV000308,82.66666666666667,6,At Risk
INV000309,41.54545454545455,11,At Risk
INV000310,41.36363636363637,11,At Risk
INV000311,101.33333333333333,3,At Risk
INV000312,68.42857142857143,7,At Risk
INV000313,126.75,4,At Risk
INV000314,50.25,8,At Risk
INV000315,56.75,4,At Risk
INV000316,77.0,5,At Risk
INV000317,110.5,4,At Risk
INV000318,69.57142857142857,7,At Risk
INV000319,55.125,8,At Risk
INV000320,38.18181818181818,11,At Risk
INV000321,44.27272727272727,11,At Risk
INV000322,143.66666666666666,3,At Risk
INV000323,59.6,5,At Risk
INV000324,250.0,2,At Risk
INV000325,113.5,2,At Risk
INV000326,74.4,5,At Risk
INV000327,167.66666666666666,3,At Risk
INV000328,29.545454545454547,11,Healthy
INV000329,88.66666666666667,3,At Risk
INV000330,55.625,8,At Risk
INV000331,47.7,10,At Risk
INV000332,64.4,5,At Risk
INV000333,90.2,5,At Risk
INV000334,26.636363636363637,11,Healthy
INV000335,48.0,10,At Risk
INV000336,150.0,1,At Risk
INV000337,69.0,6,At Risk
INV000338,29.666666666666668,3,Healthy
INV000339,57.111111111111114,9,At Risk
INV000340,25.6,5,Healthy
INV000341,46.1,10,At Risk
INV000342,,0,Healthy
INV000343,126.66666666666667,3,At Risk
INV000344,41.22222222222222,9,At Risk
INV000345,,0,Healthy
INV000346,52.8,5,At Risk
INV000347,224.0,1,At Risk
INV000348,109.66666666666667,3,At Risk
